id,FOODS_3_090_TX_1_evaluation,event_name_1,wday,FOODS_3_318_TX_1_evaluation,event_name_1,wday,FOODS_3_586_TX_1_evaluation,event_name_1,wday,FOODS_3_090_TX_2_evaluation,event_name_1,wday,FOODS_3_252_TX_2_evaluation,event_name_1,wday,FOODS_3_318_TX_2_evaluation,event_name_1,wday,FOODS_3_555_TX_2_evaluation,event_name_1,wday,FOODS_3_586_TX_2_evaluation,event_name_1,wday,FOODS_3_587_TX_2_evaluation,event_name_1,wday,FOODS_2_360_TX_3_evaluation,event_name_1,wday,FOODS_3_090_TX_3_evaluation,event_name_1,wday,FOODS_3_252_TX_3_evaluation,event_name_1,wday,FOODS_3_318_TX_3_evaluation,event_name_1,wday,FOODS_3_555_TX_3_evaluation,event_name_1,wday,FOODS_3_586_TX_3_evaluation,event_name_1,wday,FOODS_3_587_TX_3_evaluation,event_name_1,wday
d_11,0,No event,4,2,No event,4,42,No event,4,0,No event,4,30,No event,4,77,No event,4,41,No event,4,44,No event,4,29,No event,4,44,No event,4,0,No event,4,34,No event,4,34,No event,4,48,No event,4,75,No event,4,19,No event,4
d_12,0,No event,5,0,No event,5,38,No event,5,0,No event,5,29,No event,5,23,No event,5,33,No event,5,60,No event,5,20,No event,5,26,No event,5,0,No event,5,18,No event,5,26,No event,5,34,No event,5,72,No event,5,31,No event,5
d_13,0,No event,6,0,No event,6,42,No event,6,0,No event,6,34,No event,6,0,No event,6,29,No event,6,52,No event,6,27,No event,6,26,No event,6,0,No event,6,48,No event,6,21,No event,6,40,No event,6,54,No event,6,44,No event,6
d_14,0,No event,7,0,No event,7,62,No event,7,0,No event,7,51,No event,7,0,No event,7,50,No event,7,91,No event,7,37,No event,7,27,No event,7,0,No event,7,32,No event,7,31,No event,7,54,No event,7,107,No event,7,32,No event,7
d_15,0,No event,1,0,No event,1,81,No event,1,0,No event,1,64,No event,1,0,No event,1,74,No event,1,133,No event,1,31,No event,1,38,No event,1,0,No event,1,107,No event,1,50,No event,1,92,No event,1,133,No event,1,35,No event,1
d_16,0,Before event,2,0,Before event,2,79,Before event,2,0,Before event,2,72,Before event,2,0,Before event,2,63,Before event,2,108,Before event,2,57,Before event,2,37,Before event,2,0,Before event,2,98,Before event,2,24,Before event,2,93,Before event,2,135,Before event,2,78,Before event,2
d_17,0,ValentinesDay,3,0,ValentinesDay,3,55,ValentinesDay,3,0,ValentinesDay,3,53,ValentinesDay,3,0,ValentinesDay,3,28,ValentinesDay,3,50,ValentinesDay,3,20,ValentinesDay,3,34,ValentinesDay,3,0,ValentinesDay,3,66,ValentinesDay,3,22,ValentinesDay,3,49,ValentinesDay,3,122,ValentinesDay,3,35,ValentinesDay,3
d_18,0,After event,4,0,After event,4,61,After event,4,0,After event,4,49,After event,4,0,After event,4,48,After event,4,98,After event,4,50,After event,4,33,After event,4,0,After event,4,57,After event,4,36,After event,4,25,After event,4,97,After event,4,49,After event,4
d_19,0,No event,5,0,No event,5,53,No event,5,0,No event,5,50,No event,5,0,No event,5,34,No event,5,59,No event,5,26,No event,5,33,No event,5,0,No event,5,38,No event,5,46,No event,5,45,No event,5,68,No event,5,26,No event,5
d_20,0,No event,6,0,No event,6,59,No event,6,0,No event,6,29,No event,6,0,No event,6,47,No event,6,56,No event,6,9,No event,6,31,No event,6,0,No event,6,59,No event,6,44,No event,6,52,No event,6,95,No event,6,42,No event,6
d_21,0,No event,7,0,No event,7,60,No event,7,0,No event,7,44,No event,7,0,No event,7,67,No event,7,86,No event,7,0,No event,7,17,No event,7,0,No event,7,73,No event,7,36,No event,7,85,No event,7,100,No event,7,46,No event,7
d_22,0,No event,1,0,No event,1,78,No event,1,0,No event,1,66,No event,1,0,No event,1,53,No event,1,97,No event,1,25,No event,1,67,No event,1,0,No event,1,86,No event,1,50,No event,1,87,No event,1,132,No event,1,52,No event,1
d_23,0,Before event,2,0,Before event,2,66,Before event,2,0,Before event,2,52,Before event,2,0,Before event,2,34,Before event,2,104,Before event,2,52,Before event,2,40,Before event,2,0,Before event,2,65,Before event,2,31,Before event,2,75,Before event,2,111,Before event,2,75,Before event,2
d_24,0,PresidentsDay,3,0,PresidentsDay,3,44,PresidentsDay,3,0,PresidentsDay,3,41,PresidentsDay,3,0,PresidentsDay,3,36,PresidentsDay,3,58,PresidentsDay,3,32,PresidentsDay,3,17,PresidentsDay,3,0,PresidentsDay,3,70,PresidentsDay,3,32,PresidentsDay,3,74,PresidentsDay,3,71,PresidentsDay,3,45,PresidentsDay,3
d_25,0,After event,4,0,After event,4,62,After event,4,0,After event,4,43,After event,4,0,After event,4,47,After event,4,90,After event,4,22,After event,4,51,After event,4,0,After event,4,39,After event,4,35,After event,4,55,After event,4,81,After event,4,33,After event,4
d_26,0,No event,5,0,No event,5,60,No event,5,0,No event,5,38,No event,5,0,No event,5,40,No event,5,77,No event,5,18,No event,5,15,No event,5,0,No event,5,40,No event,5,12,No event,5,47,No event,5,91,No event,5,34,No event,5
d_27,0,No event,6,0,No event,6,54,No event,6,0,No event,6,40,No event,6,0,No event,6,28,No event,6,67,No event,6,21,No event,6,25,No event,6,0,No event,6,45,No event,6,17,No event,6,83,No event,6,76,No event,6,30,No event,6
d_28,0,No event,7,0,No event,7,63,No event,7,0,No event,7,56,No event,7,0,No event,7,45,No event,7,86,No event,7,19,No event,7,10,No event,7,0,No event,7,57,No event,7,20,No event,7,55,No event,7,92,No event,7,21,No event,7
d_29,0,No event,1,0,No event,1,71,No event,1,0,No event,1,71,No event,1,0,No event,1,56,No event,1,125,No event,1,38,No event,1,34,No event,1,0,No event,1,64,No event,1,34,No event,1,80,No event,1,106,No event,1,0,No event,1
d_30,0,No event,2,0,No event,2,77,No event,2,0,No event,2,60,No event,2,0,No event,2,45,No event,2,98,No event,2,45,No event,2,27,No event,2,0,No event,2,84,No event,2,33,No event,2,96,No event,2,134,No event,2,0,No event,2
d_31,0,No event,3,0,No event,3,48,No event,3,0,No event,3,64,No event,3,0,No event,3,6,No event,3,42,No event,3,27,No event,3,38,No event,3,0,No event,3,64,No event,3,10,No event,3,54,No event,3,81,No event,3,30,No event,3
d_32,0,No event,4,0,No event,4,54,No event,4,0,No event,4,37,No event,4,0,No event,4,43,No event,4,75,No event,4,31,No event,4,15,No event,4,0,No event,4,64,No event,4,0,No event,4,58,No event,4,104,No event,4,54,No event,4
d_33,0,No event,5,0,No event,5,50,No event,5,0,No event,5,27,No event,5,0,No event,5,27,No event,5,64,No event,5,25,No event,5,57,No event,5,0,No event,5,78,No event,5,0,No event,5,57,No event,5,91,No event,5,20,No event,5
d_34,0,No event,6,0,No event,6,61,No event,6,0,No event,6,31,No event,6,0,No event,6,52,No event,6,66,No event,6,25,No event,6,53,No event,6,0,No event,6,51,No event,6,0,No event,6,47,No event,6,86,No event,6,24,No event,6
d_35,0,No event,7,0,No event,7,49,No event,7,0,No event,7,42,No event,7,0,No event,7,69,No event,7,98,No event,7,27,No event,7,37,No event,7,0,No event,7,62,No event,7,0,No event,7,66,No event,7,98,No event,7,26,No event,7
d_36,0,No event,1,0,No event,1,57,No event,1,0,No event,1,43,No event,1,0,No event,1,67,No event,1,104,No event,1,35,No event,1,82,No event,1,0,No event,1,55,No event,1,0,No event,1,93,No event,1,133,No event,1,27,No event,1
d_37,0,No event,2,0,No event,2,76,No event,2,0,No event,2,52,No event,2,0,No event,2,69,No event,2,114,No event,2,51,No event,2,51,No event,2,0,No event,2,77,No event,2,0,No event,2,99,No event,2,129,No event,2,22,No event,2
d_38,0,No event,3,0,No event,3,44,No event,3,0,No event,3,26,No event,3,0,No event,3,41,No event,3,85,No event,3,34,No event,3,56,No event,3,0,No event,3,46,No event,3,0,No event,3,42,No event,3,99,No event,3,34,No event,3
d_39,0,Before event,4,0,Before event,4,55,Before event,4,0,Before event,4,45,Before event,4,0,Before event,4,40,Before event,4,64,Before event,4,18,Before event,4,21,Before event,4,0,Before event,4,49,Before event,4,0,Before event,4,65,Before event,4,84,Before event,4,19,Before event,4
d_40,0,LentStart,5,0,LentStart,5,65,LentStart,5,0,LentStart,5,35,LentStart,5,0,LentStart,5,51,LentStart,5,68,LentStart,5,18,LentStart,5,39,LentStart,5,0,LentStart,5,42,LentStart,5,0,LentStart,5,70,LentStart,5,80,LentStart,5,22,LentStart,5
d_41,0,After event,6,0,After event,6,65,After event,6,0,After event,6,30,After event,6,0,After event,6,56,After event,6,75,After event,6,25,After event,6,42,After event,6,0,After event,6,44,After event,6,0,After event,6,62,After event,6,94,After event,6,22,After event,6
d_42,0,No event,7,0,No event,7,51,No event,7,0,No event,7,49,No event,7,0,No event,7,68,No event,7,79,No event,7,20,No event,7,30,No event,7,0,No event,7,53,No event,7,0,No event,7,63,No event,7,89,No event,7,18,No event,7
d_43,0,No event,1,0,No event,1,74,No event,1,0,No event,1,59,No event,1,0,No event,1,77,No event,1,128,No event,1,28,No event,1,55,No event,1,0,No event,1,104,No event,1,0,No event,1,86,No event,1,146,No event,1,26,No event,1
d_44,0,No event,2,0,No event,2,62,No event,2,0,No event,2,58,No event,2,0,No event,2,62,No event,2,110,No event,2,47,No event,2,36,No event,2,0,No event,2,60,No event,2,0,No event,2,64,No event,2,131,No event,2,37,No event,2
d_45,0,No event,3,0,No event,3,52,No event,3,0,No event,3,40,No event,3,0,No event,3,46,No event,3,84,No event,3,7,No event,3,19,No event,3,0,No event,3,32,No event,3,0,No event,3,51,No event,3,80,No event,3,34,No event,3
d_46,0,Before event,4,0,Before event,4,59,Before event,4,0,Before event,4,37,Before event,4,0,Before event,4,50,Before event,4,101,Before event,4,0,Before event,4,25,Before event,4,0,Before event,4,47,Before event,4,0,Before event,4,80,Before event,4,93,Before event,4,21,Before event,4
d_47,0,LentWeek2,5,0,LentWeek2,5,53,LentWeek2,5,0,LentWeek2,5,35,LentWeek2,5,0,LentWeek2,5,46,LentWeek2,5,80,LentWeek2,5,0,LentWeek2,5,51,LentWeek2,5,0,LentWeek2,5,54,LentWeek2,5,0,LentWeek2,5,83,LentWeek2,5,86,LentWeek2,5,21,LentWeek2,5
d_48,0,StPatricksDay,6,0,StPatricksDay,6,66,StPatricksDay,6,0,StPatricksDay,6,55,StPatricksDay,6,0,StPatricksDay,6,67,StPatricksDay,6,86,StPatricksDay,6,0,StPatricksDay,6,11,StPatricksDay,6,0,StPatricksDay,6,55,StPatricksDay,6,0,StPatricksDay,6,63,StPatricksDay,6,87,StPatricksDay,6,19,StPatricksDay,6
d_49,0,After event,7,0,After event,7,58,After event,7,0,After event,7,46,After event,7,0,After event,7,77,After event,7,105,After event,7,0,After event,7,23,After event,7,0,After event,7,55,After event,7,0,After event,7,67,After event,7,75,After event,7,23,After event,7
d_50,0,Before event,1,0,Before event,1,56,Before event,1,0,Before event,1,61,Before event,1,0,Before event,1,73,Before event,1,125,Before event,1,0,Before event,1,8,Before event,1,0,Before event,1,82,Before event,1,0,Before event,1,80,Before event,1,98,Before event,1,16,Before event,1
d_51,0,Purim End,2,0,Purim End,2,58,Purim End,2,0,Purim End,2,78,Purim End,2,0,Purim End,2,70,Purim End,2,142,Purim End,2,0,Purim End,2,40,Purim End,2,0,Purim End,2,72,Purim End,2,0,Purim End,2,74,Purim End,2,127,Purim End,2,30,Purim End,2
d_52,0,After event,3,0,After event,3,74,After event,3,0,After event,3,33,After event,3,0,After event,3,41,After event,3,62,After event,3,0,After event,3,49,After event,3,0,After event,3,51,After event,3,0,After event,3,37,After event,3,103,After event,3,13,After event,3
d_53,0,No event,4,0,No event,4,53,No event,4,0,No event,4,32,No event,4,0,No event,4,47,No event,4,81,No event,4,0,No event,4,18,No event,4,0,No event,4,46,No event,4,0,No event,4,47,No event,4,87,No event,4,21,No event,4
d_54,0,No event,5,0,No event,5,46,No event,5,0,No event,5,38,No event,5,0,No event,5,46,No event,5,84,No event,5,0,No event,5,15,No event,5,0,No event,5,56,No event,5,0,No event,5,42,No event,5,110,No event,5,18,No event,5
d_55,0,No event,6,0,No event,6,46,No event,6,0,No event,6,39,No event,6,0,No event,6,47,No event,6,83,No event,6,0,No event,6,25,No event,6,0,No event,6,50,No event,6,0,No event,6,40,No event,6,83,No event,6,21,No event,6
d_56,0,No event,7,0,No event,7,52,No event,7,0,No event,7,36,No event,7,0,No event,7,46,No event,7,70,No event,7,0,No event,7,23,No event,7,0,No event,7,56,No event,7,0,No event,7,39,No event,7,102,No event,7,8,No event,7
d_57,0,No event,1,0,No event,1,65,No event,1,0,No event,1,68,No event,1,0,No event,1,73,No event,1,99,No event,1,0,No event,1,23,No event,1,0,No event,1,67,No event,1,0,No event,1,93,No event,1,117,No event,1,27,No event,1
d_58,0,No event,2,0,No event,2,63,No event,2,0,No event,2,68,No event,2,0,No event,2,58,No event,2,105,No event,2,0,No event,2,37,No event,2,0,No event,2,73,No event,2,0,No event,2,83,No event,2,105,No event,2,31,No event,2
d_59,0,No event,3,0,No event,3,44,No event,3,0,No event,3,33,No event,3,0,No event,3,30,No event,3,54,No event,3,0,No event,3,20,No event,3,0,No event,3,44,No event,3,0,No event,3,50,No event,3,71,No event,3,19,No event,3
d_60,0,No event,4,0,No event,4,43,No event,4,0,No event,4,26,No event,4,0,No event,4,39,No event,4,53,No event,4,0,No event,4,13,No event,4,0,No event,4,40,No event,4,0,No event,4,39,No event,4,75,No event,4,12,No event,4
d_61,0,No event,5,0,No event,5,32,No event,5,0,No event,5,28,No event,5,0,No event,5,46,No event,5,61,No event,5,0,No event,5,21,No event,5,0,No event,5,45,No event,5,0,No event,5,48,No event,5,80,No event,5,12,No event,5
d_62,0,No event,6,0,No event,6,56,No event,6,0,No event,6,39,No event,6,0,No event,6,35,No event,6,80,No event,6,0,No event,6,26,No event,6,0,No event,6,50,No event,6,0,No event,6,67,No event,6,101,No event,6,20,No event,6
d_63,0,No event,7,0,No event,7,81,No event,7,0,No event,7,45,No event,7,0,No event,7,63,No event,7,94,No event,7,0,No event,7,53,No event,7,0,No event,7,81,No event,7,0,No event,7,80,No event,7,111,No event,7,19,No event,7
d_64,0,No event,1,0,No event,1,78,No event,1,0,No event,1,53,No event,1,0,No event,1,65,No event,1,108,No event,1,0,No event,1,45,No event,1,0,No event,1,86,No event,1,0,No event,1,93,No event,1,118,No event,1,20,No event,1
d_65,0,No event,2,0,No event,2,69,No event,2,0,No event,2,44,No event,2,0,No event,2,51,No event,2,86,No event,2,0,No event,2,5,No event,2,0,No event,2,72,No event,2,0,No event,2,74,No event,2,121,No event,2,15,No event,2
d_66,0,No event,3,0,No event,3,61,No event,3,0,No event,3,22,No event,3,0,No event,3,43,No event,3,69,No event,3,0,No event,3,24,No event,3,0,No event,3,50,No event,3,0,No event,3,50,No event,3,81,No event,3,3,No event,3
d_67,0,No event,4,0,No event,4,60,No event,4,0,No event,4,25,No event,4,0,No event,4,59,No event,4,75,No event,4,0,No event,4,23,No event,4,0,No event,4,64,No event,4,0,No event,4,57,No event,4,79,No event,4,14,No event,4
d_68,0,No event,5,0,No event,5,61,No event,5,0,No event,5,47,No event,5,0,No event,5,55,No event,5,84,No event,5,0,No event,5,19,No event,5,0,No event,5,39,No event,5,0,No event,5,43,No event,5,97,No event,5,6,No event,5
d_69,0,No event,6,0,No event,6,62,No event,6,0,No event,6,26,No event,6,0,No event,6,44,No event,6,65,No event,6,0,No event,6,27,No event,6,0,No event,6,45,No event,6,0,No event,6,61,No event,6,68,No event,6,13,No event,6
d_70,0,No event,7,0,No event,7,65,No event,7,0,No event,7,30,No event,7,0,No event,7,52,No event,7,73,No event,7,0,No event,7,23,No event,7,0,No event,7,62,No event,7,0,No event,7,65,No event,7,104,No event,7,6,No event,7
d_71,0,No event,1,0,No event,1,91,No event,1,0,No event,1,51,No event,1,0,No event,1,64,No event,1,115,No event,1,0,No event,1,27,No event,1,0,No event,1,82,No event,1,0,No event,1,88,No event,1,124,No event,1,12,No event,1
d_72,0,No event,2,0,No event,2,71,No event,2,0,No event,2,55,No event,2,0,No event,2,44,No event,2,129,No event,2,0,No event,2,19,No event,2,0,No event,2,62,No event,2,0,No event,2,74,No event,2,122,No event,2,15,No event,2
d_73,0,No event,3,0,No event,3,57,No event,3,0,No event,3,43,No event,3,0,No event,3,38,No event,3,83,No event,3,0,No event,3,20,No event,3,0,No event,3,51,No event,3,0,No event,3,68,No event,3,105,No event,3,0,No event,3
d_74,0,No event,4,0,No event,4,51,No event,4,0,No event,4,47,No event,4,0,No event,4,54,No event,4,58,No event,4,0,No event,4,31,No event,4,0,No event,4,52,No event,4,0,No event,4,63,No event,4,100,No event,4,0,No event,4
d_75,0,No event,5,0,No event,5,56,No event,5,0,No event,5,38,No event,5,0,No event,5,46,No event,5,102,No event,5,0,No event,5,3,No event,5,0,No event,5,44,No event,5,0,No event,5,43,No event,5,101,No event,5,21,No event,5
d_76,0,No event,6,0,No event,6,73,No event,6,0,No event,6,31,No event,6,0,No event,6,49,No event,6,96,No event,6,0,No event,6,26,No event,6,0,No event,6,43,No event,6,0,No event,6,53,No event,6,70,No event,6,14,No event,6
d_77,0,No event,7,0,No event,7,75,No event,7,0,No event,7,35,No event,7,0,No event,7,61,No event,7,92,No event,7,0,No event,7,38,No event,7,0,No event,7,55,No event,7,0,No event,7,81,No event,7,102,No event,7,18,No event,7
d_78,0,No event,1,0,No event,1,79,No event,1,0,No event,1,63,No event,1,0,No event,1,59,No event,1,103,No event,1,0,No event,1,22,No event,1,0,No event,1,78,No event,1,0,No event,1,96,No event,1,126,No event,1,34,No event,1
d_79,0,No event,2,0,No event,2,80,No event,2,0,No event,2,59,No event,2,0,No event,2,73,No event,2,113,No event,2,0,No event,2,16,No event,2,0,No event,2,96,No event,2,0,No event,2,85,No event,2,125,No event,2,43,No event,2
d_80,0,No event,3,0,No event,3,75,No event,3,0,No event,3,33,No event,3,0,No event,3,46,No event,3,81,No event,3,0,No event,3,21,No event,3,0,No event,3,71,No event,3,0,No event,3,57,No event,3,102,No event,3,32,No event,3
d_81,0,No event,4,0,No event,4,67,No event,4,0,No event,4,32,No event,4,0,No event,4,39,No event,4,86,No event,4,0,No event,4,12,No event,4,0,No event,4,81,No event,4,0,No event,4,72,No event,4,101,No event,4,22,No event,4
d_82,0,No event,5,0,No event,5,54,No event,5,0,No event,5,44,No event,5,0,No event,5,55,No event,5,81,No event,5,0,No event,5,0,No event,5,0,No event,5,51,No event,5,0,No event,5,65,No event,5,115,No event,5,17,No event,5
d_83,0,No event,6,0,No event,6,55,No event,6,0,No event,6,40,No event,6,0,No event,6,45,No event,6,78,No event,6,0,No event,6,21,No event,6,0,No event,6,48,No event,6,0,No event,6,51,No event,6,93,No event,6,11,No event,6
d_84,0,No event,7,0,No event,7,87,No event,7,0,No event,7,56,No event,7,0,No event,7,88,No event,7,110,No event,7,0,No event,7,31,No event,7,0,No event,7,69,No event,7,0,No event,7,94,No event,7,130,No event,7,9,No event,7
d_85,0,Before event,1,0,Before event,1,77,Before event,1,0,Before event,1,77,Before event,1,0,Before event,1,86,Before event,1,132,Before event,1,0,Before event,1,13,Before event,1,0,Before event,1,96,Before event,1,0,Before event,1,104,Before event,1,150,Before event,1,21,Before event,1
d_86,0,OrthodoxEaster,2,0,OrthodoxEaster,2,95,OrthodoxEaster,2,0,OrthodoxEaster,2,66,OrthodoxEaster,2,0,OrthodoxEaster,2,69,OrthodoxEaster,2,112,OrthodoxEaster,2,0,OrthodoxEaster,2,31,OrthodoxEaster,2,0,OrthodoxEaster,2,89,OrthodoxEaster,2,0,OrthodoxEaster,2,79,OrthodoxEaster,2,145,OrthodoxEaster,2,15,OrthodoxEaster,2
d_87,0,Before event,3,0,Before event,3,58,Before event,3,0,Before event,3,42,Before event,3,0,Before event,3,42,Before event,3,85,Before event,3,0,Before event,3,19,Before event,3,0,Before event,3,47,Before event,3,0,Before event,3,49,Before event,3,94,Before event,3,13,Before event,3
d_88,0,Pesach End,4,0,Pesach End,4,49,Pesach End,4,0,Pesach End,4,37,Pesach End,4,0,Pesach End,4,27,Pesach End,4,48,Pesach End,4,0,Pesach End,4,10,Pesach End,4,0,Pesach End,4,38,Pesach End,4,0,Pesach End,4,42,Pesach End,4,82,Pesach End,4,0,Pesach End,4
d_89,0,After event,5,0,After event,5,69,After event,5,0,After event,5,46,After event,5,0,After event,5,31,After event,5,73,After event,5,32,After event,5,20,After event,5,0,After event,5,45,After event,5,0,After event,5,64,After event,5,74,After event,5,0,After event,5
d_90,0,No event,6,0,No event,6,50,No event,6,0,No event,6,47,No event,6,0,No event,6,47,No event,6,70,No event,6,18,No event,6,8,No event,6,0,No event,6,56,No event,6,0,No event,6,74,No event,6,73,No event,6,0,No event,6
d_91,0,No event,7,0,No event,7,73,No event,7,0,No event,7,36,No event,7,0,No event,7,51,No event,7,93,No event,7,27,No event,7,24,No event,7,0,No event,7,72,No event,7,0,No event,7,55,No event,7,74,No event,7,13,No event,7
d_92,0,No event,1,0,No event,1,72,No event,1,0,No event,1,51,No event,1,0,No event,1,70,No event,1,105,No event,1,25,No event,1,27,No event,1,0,No event,1,92,No event,1,0,No event,1,64,No event,1,113,No event,1,9,No event,1
d_93,0,No event,2,0,No event,2,108,No event,2,0,No event,2,72,No event,2,0,No event,2,60,No event,2,113,No event,2,64,No event,2,27,No event,2,0,No event,2,82,No event,2,0,No event,2,93,No event,2,131,No event,2,28,No event,2
d_94,0,No event,3,0,No event,3,51,No event,3,0,No event,3,31,No event,3,0,No event,3,41,No event,3,69,No event,3,30,No event,3,33,No event,3,0,No event,3,31,No event,3,0,No event,3,44,No event,3,79,No event,3,24,No event,3
d_95,0,No event,4,0,No event,4,70,No event,4,0,No event,4,28,No event,4,0,No event,4,38,No event,4,75,No event,4,19,No event,4,25,No event,4,0,No event,4,52,No event,4,0,No event,4,59,No event,4,98,No event,4,30,No event,4
d_96,0,Before event,5,0,Before event,5,53,Before event,5,0,Before event,5,26,Before event,5,0,Before event,5,42,Before event,5,75,Before event,5,21,Before event,5,21,Before event,5,0,Before event,5,53,Before event,5,0,Before event,5,46,Before event,5,84,Before event,5,14,Before event,5
d_97,0,Cinco De Mayo,6,0,Cinco De Mayo,6,69,Cinco De Mayo,6,0,Cinco De Mayo,6,38,Cinco De Mayo,6,0,Cinco De Mayo,6,40,Cinco De Mayo,6,75,Cinco De Mayo,6,27,Cinco De Mayo,6,36,Cinco De Mayo,6,0,Cinco De Mayo,6,39,Cinco De Mayo,6,0,Cinco De Mayo,6,56,Cinco De Mayo,6,89,Cinco De Mayo,6,25,Cinco De Mayo,6
d_98,0,After event,7,0,After event,7,78,After event,7,0,After event,7,42,After event,7,0,After event,7,79,After event,7,82,After event,7,17,After event,7,28,After event,7,0,After event,7,55,After event,7,0,After event,7,65,After event,7,124,After event,7,24,After event,7
d_99,0,Before event,1,0,Before event,1,105,Before event,1,0,Before event,1,69,Before event,1,0,Before event,1,58,Before event,1,101,Before event,1,29,Before event,1,26,Before event,1,0,Before event,1,102,Before event,1,0,Before event,1,91,Before event,1,135,Before event,1,22,Before event,1
d_100,0,Mother's day,2,0,Mother's day,2,85,Mother's day,2,0,Mother's day,2,86,Mother's day,2,0,Mother's day,2,38,Mother's day,2,137,Mother's day,2,35,Mother's day,2,19,Mother's day,2,0,Mother's day,2,103,Mother's day,2,0,Mother's day,2,84,Mother's day,2,140,Mother's day,2,25,Mother's day,2
d_101,0,After event,3,0,After event,3,72,After event,3,0,After event,3,46,After event,3,0,After event,3,35,After event,3,92,After event,3,36,After event,3,35,After event,3,0,After event,3,73,After event,3,0,After event,3,63,After event,3,90,After event,3,29,After event,3
d_102,0,No event,4,0,No event,4,64,No event,4,0,No event,4,44,No event,4,0,No event,4,40,No event,4,65,No event,4,21,No event,4,16,No event,4,0,No event,4,60,No event,4,0,No event,4,69,No event,4,80,No event,4,15,No event,4
d_103,0,No event,5,0,No event,5,54,No event,5,0,No event,5,30,No event,5,0,No event,5,44,No event,5,64,No event,5,10,No event,5,24,No event,5,0,No event,5,45,No event,5,0,No event,5,59,No event,5,90,No event,5,18,No event,5
d_104,0,No event,6,0,No event,6,55,No event,6,0,No event,6,19,No event,6,0,No event,6,17,No event,6,72,No event,6,9,No event,6,16,No event,6,0,No event,6,30,No event,6,0,No event,6,56,No event,6,70,No event,6,34,No event,6
d_105,0,No event,7,0,No event,7,73,No event,7,0,No event,7,46,No event,7,0,No event,7,54,No event,7,100,No event,7,13,No event,7,30,No event,7,0,No event,7,84,No event,7,0,No event,7,81,No event,7,138,No event,7,17,No event,7
